,sample,sampleType,fishID,site,weight.g,length.cm,gutWeight.g,sex,wild_or_F2,fishType,extractionID,LF1_RF1,RF1_strength,LF1_IR1,IR1_strength,genotype,pcrGenotypeDate,sequencingRun,notes,reads.in,reads.out,derepF,derepR,merged,nochim,prop.retained,chl_abundance,is.neg
KLF_220,KLF_220,gut,220,New Bedford Harbor,4.774,6.4,0.263,M,F2,New Bedford Harbor F2,,1,faint,0,none,homo,8/25/21,Run2,,96208,84055,83944,83963,83652,83352,0.866372858805921,0.0537839523946636,FALSE
KLF_70,KLF_70,gut,70,New Bedford Harbor,3.664,6.7,0.2245,M,wild,New Bedford Harbor wild,70,1,medium,2,bright,het,3/12/21,Run1,,121672,102154,101175,101147,96754,86809,0.713467354855678,0.198101579329332,FALSE
KLF_229,KLF_229,gut,229,New Bedford Harbor,4.202,5.6,0.303,F,F2,New Bedford Harbor F2,,0,none,1,faint,intact,8/25/21,Run2,,81655,69661,69546,69564,69062,68766,0.842152960627028,0.0646976703603525,FALSE
KLF_28,KLF_28,gut,28,Scorton Creek,4.1711,7.1,0.184,M,wild,Scorton Creek wild,28,1,medium,1,faint,het,3/12/21,Run1,,97825,77077,76725,76765,75532,74277,0.759284436493739,0.00131938554330412,FALSE
KLF_203,KLF_203,gut,203,New Bedford Harbor,2.957,5.1,0.267,M,F2,New Bedford Harbor F2,,1,bright,1,bright,het,8/25/21,Run2,,121657,104159,103962,104069,103570,103480,0.850588128919832,0.088838422883649,FALSE
KLF_210,KLF_210,gut,210,New Bedford Harbor,5.008,6,0.395,M,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,,132136,111880,111701,111687,110398,108955,0.824567112671793,0.045532559313478,FALSE
KLF_4,KLF_4,gut,4,Scorton Creek,3.29,6.5,0.1416,M,wild,Scorton Creek wild,4,0,none,1,bright,intact,3/11/21,Run1,,145733,114327,114011,114038,112555,110313,0.756952783515058,0.00104248819268808,FALSE
KLF_40,KLF_40,gut,40,Scorton Creek,2.897,6.5,0.11,M,wild,Scorton Creek wild,40,1,bright,1,bright,het,3/21/21,Run2,re-sequenced,188108,129325,128868,129124,95934,95680,0.508643970485041,0,FALSE
KLF_67,KLF_67,gut,67,New Bedford Harbor,2.008,5.6,0.1325,M,wild,New Bedford Harbor wild,67,1,medium,2,bright,het,3/12/21,Run1,,164107,130121,128529,128414,125306,121895,0.742777578043593,0.00268263669551663,FALSE
KLF_NBH_water_1,KLF_NBH_water_1,water,NA,New Bedford Harbor,NA,NA,NA,M,water,New Bedford Harbor water,NBH_water_1,0,none,0,none,,3/12/21,Run1,,145766,110276,105563,105895,101137,97490,0.668811657039365,0.104974869217356,FALSE
KLF_201,KLF_201,gut,201,New Bedford Harbor,6.922,6.6,NA,M,F2,New Bedford Harbor F2,,1,faint,1,faint,het,8/25/21,Run2,,129605,109727,109666,109692,109253,108897,0.840222213649165,0.0544000293855662,FALSE
KLF_73,KLF_73,gut,73,New Bedford Harbor,2.127,5.9,0.1326,M,wild,New Bedford Harbor wild,73,1,bright,1,bright,het,3/12/21,Run1,,134522,101120,98053,98355,94834,90944,0.676052987615409,0.0438071780436312,FALSE
KLF_221,KLF_221,gut,221,New Bedford Harbor,5.141,6,0.252,M,F2,New Bedford Harbor F2,,1,faint,1,very faint,het,8/25/21,Run2,,115252,99904,99759,99797,99111,98340,0.85326068094263,0.0464510880618263,FALSE
KLF_79,KLF_79,gut,79,New Bedford Harbor,1.838,5.5,0.0725,M,wild,New Bedford Harbor wild,79,1,bright,1,bright,het,3/12/21,Run1,,122802,99585,99062,99070,95669,92191,0.750728815491604,0.0052608172164311,FALSE
KLF_243,KLF_243,gut,243,New Bedford Harbor,3.75,5.5,0.28,F,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,,101893,86257,86113,86111,85165,83963,0.824031091439059,0.0903493205340448,FALSE
KLF_106,KLF_106,gut,106,Scorton Creek,2.807,5.1,0.172,M,F2,Scorton Creek F2,,0,none,1,bright,intact,8/25/21,Run2,,87538,74069,73858,73834,73296,72988,0.83378646987594,0.0438565243601688,FALSE
KLF_64,KLF_64,gut,64,New Bedford Harbor,2.51,6.1,0.2049,M,wild,New Bedford Harbor wild,64,0,none,1,bright,intact,3/12/21,Run1,,69808,56429,55415,55355,53008,50670,0.725848040339216,0.00864416814683244,FALSE
KLF_66,KLF_66,gut,66,New Bedford Harbor,2.626,6.1,0.1796,M,wild,New Bedford Harbor wild,66,1,medium,1,bright,het,3/12/21,Run1,,139979,115664,113358,113644,107867,101518,0.725237357032126,0.154967591954136,FALSE
KLF_59,KLF_59,gut,59,New Bedford Harbor,2.283,6.1,0.1221,M,wild,New Bedford Harbor wild,59,1,medium,1,medium,het,3/12/21,Run1,,87868,71920,69903,69780,65630,58030,0.660422451859608,0.120489402033431,FALSE
KLF_76,KLF_76,gut,76,New Bedford Harbor,3.338,6.2,0.341,M,wild,New Bedford Harbor wild,76,0,none,1,bright,intact,3/12/21,Run1,,125751,106685,106238,106262,101845,93643,0.744670022504791,0.00573454502739126,FALSE
